Event_Id,Event_Name,Event_Summary,Event_Organizer,start_date,url,is_online_event
359515780377,RESTORATION LONDON Sashiko+Boro - Japanese Mending Workshop,Learn the traditional Japanese mending embroidery method of Sashiko and Boro stitching- to fix and revive your damaged or old clothing!,29540843465,2022-07-23,https://www.eventbrite.co.uk/e/restoration-london-sashikoboro-japanese-mending-workshop-tickets-359515780377,false
274947704987,UB40 in Windsor,Get ready for UB40 LIVE at Windsor Racecourse!,19928264152,2022-08-12,https://www.eventbrite.co.uk/e/ub40-in-windsor-tickets-274947704987,false
327107546477,The London Watch Show,The London Watch Show - The Capitals Largest Watch Event,33395496471,2022-09-17,https://www.eventbrite.co.uk/e/the-london-watch-show-tickets-327107546477,false
366735524827,The London Four Pounds Drawing Class - The London £4 Drawing Class,This class was created to inspire any one to dare to dive and enjoy drawing.  Explore  learn  grow.,30916596795,2022-07-22,https://www.eventbrite.co.uk/e/the-london-four-pounds-drawing-class-the-london-4-drawing-class-tickets-366735524827,false
302577406167,#mtpcon London+EMEA 2022,Kick off a full year of product learning at the world’s best hybrid product conference,1962515111,2022-10-13,https://www.eventbrite.com/e/mtpcon-londonemea-2022-tickets-302577406167,false
386806928937,** Kayak Bus (Greenwich to Battersea).,Kayak sightseeing trip  Greenwich to Battersea.  Passing through Central London from East to West. Seeing Londons most famous landmarks.,8551940451,2022-07-26,https://www.eventbrite.co.uk/e/kayak-bus-greenwich-to-battersea-tickets-386806928937,false
323781668687,Escape Bar Pub Quiz - Stratford,ESCAPE STRATFORD'S WEEKYL QUIZ NIGHT,31394247105,2022-07-25,https://www.eventbrite.co.uk/e/escape-bar-pub-quiz-stratford-tickets-323781668687,false
333642984147,Free  family-friendly outdoor fun in Gillespie Park,We'll be either pond dipping or meadow sweeping plus some nature crafts in Gillespie Park. All free and family-friendly. Suitable for ages,17944623188,2022-08-10,https://www.eventbrite.co.uk/e/free-family-friendly-outdoor-fun-in-gillespie-park-tickets-333642984147,false
386006003347,SOUND HEALING GONGMEDITATIONS,SOUND HEALING GONG MEDITATIONS,17370936295,2022-07-30,https://www.eventbrite.co.uk/e/sound-healing-gongmeditations-tickets-386006003347,false
293757455457,Royal Wharf Summer Fete,The perfect family day out in the sun! Join us at the Royal Wharf Summer Fete on Saturday 17th September  between 11am – 6pm.,34125793011,2022-09-17,https://www.eventbrite.co.uk/e/royal-wharf-summer-fete-tickets-293757455457,false
