id,name,summary,organizer,start_date,url,is_online_event
247744860547,AKAATA FESTIVAL,Akaata Festival is a homecoming kumerican-Oseikrom for native home and abroad to dress in 90’s and 2000’s hip-pop style.called “Akaata “.,40094801623,2022-12-23,https://www.eventbrite.de/e/akaata-festival-tickets-247744860547,false
350420927427,End of Year Networking Event,End of year celebration of 2022 and looking forward to 2023,33423319881,2022-12-13,https://www.eventbrite.co.uk/e/end-of-year-networking-event-tickets-350420927427,false
379461919817,Afadjato Hiking Trails,Explore the wonders of Mount Afadjato and grasp the natural beauty of Wli Waterfalls.,48623910363,2022-08-06,https://www.eventbrite.com/e/afadjato-hiking-trails-tickets-379461919817,false
370680253617,Ghana X Innovation,A once-in-a-lifetime tour of Ghana's tech  social innovation  and creative ecosystems!,26757465255,2022-08-09,https://www.eventbrite.com/e/ghana-x-innovation-tickets-370680253617,false
379634475937,Public Health  Architecture and Urbanism Dialogues #2: Dr Tolullah Oni,Our second talk in the Public Health  Architecture and Urbanism Dialogues will be presented by Dr Tolullah Oni.,33894323991,2022-08-11,https://www.eventbrite.co.uk/e/public-health-architecture-and-urbanism-dialogues-2-dr-tolullah-oni-tickets-379634475937,false
375421785667,Love Feast Crusade,Worshippers Summit International invite you to Love Feast Crusade for an  atmosphere of Worship  Action and Miracles.,49411072193,2022-08-13,https://www.eventbrite.co.uk/e/love-feast-crusade-tickets-375421785667,false
378447967057,Adventure Quad Bike,We know you are ready for a new adventure! Ride a Quad bike  visit Asenema waterfall and explore Eastern Region with BeyondAfrik.,48625028133,2022-08-13,https://www.eventbrite.com/e/adventure-quad-bike-tickets-378447967057,false
379366674937,FIXED Summer Camp '22 // ALIVE,Your favourite teen camp is BACK! Join us for a fun-filled  life-changing week at FIXED Summer Camp '22! Venue is Gomoa Wonderland.,33569898801,2022-08-15,https://www.eventbrite.com/e/fixed-summer-camp-22-alive-tickets-379366674937,false
380443606067,Beats ❌Roses,Swim.Brunch .Play,31885657063,2022-08-15,https://www.eventbrite.co.uk/e/beats-roses-tickets-380443606067,false
251655427157,Summer Time in Ghana | 5 Nights,Let's spend a Summer Week in Ghana. You can choose which days works for you (Only $300  to RSVP Your Spot) - $1 500 Total.,6865447061,2022-08-20,https://www.eventbrite.com/e/summer-time-in-ghana-5-nights-tickets-251655427157,false
379741506067,Pan-African Speaker Series #3: Kate Otten,Kate Otten  the third speaker in our Pan-African Speaker Series  will be joining us from Johannesburg  South Africa.,33894323991,2022-08-18,https://www.eventbrite.co.uk/e/pan-african-speaker-series-3-kate-otten-tickets-379741506067,false
385734822237,SOAR 2022,This event aims to connect students with ideas and opportunities pertaining to higher education both locally and abroad.,33068007987,2022-08-19,https://www.eventbrite.co.uk/e/soar-2022-tickets-385734822237,false
366772946757,Let's Travel,We are on a fun adventure to the Bunso Eco Park! Join us!,31459929687,2022-08-20,https://www.eventbrite.com/e/lets-travel-tickets-366772946757,false
335950064687,ACCRA INTERNATIONAL EDUCATION FAIR 2022,Do you want to study abroad and immerse yourself in a different culture?,28264023857,2022-10-03,https://www.eventbrite.com/e/accra-international-education-fair-2022-tickets-335950064687,false
273147390197,Women’s Prayer Revival- Ghana Edition,Woman! Thy Hour Has Come!,30991751219,2022-08-24,https://www.eventbrite.com/e/womens-prayer-revival-ghana-edition-tickets-273147390197,false
388200798037,Jobs & Business Growth Summit ( Kumasi Edition),This is a strategic conference that brings together young people  business community and other stakeholders within the various regions,49155525803,2022-08-26,https://www.eventbrite.com/e/jobs-business-growth-summit-kumasi-edition-tickets-388200798037,false
377520513017,The Cake Fair '22,The sweet experience is back! The Cake Fair is happening on Saturday 27th of August at The La Palm Royal Beach Hotel from 9am to 9pm.,49529676653,2022-08-27,https://www.eventbrite.com/e/the-cake-fair-22-tickets-377520513017,false
386343151767,Quad Biking Experience.... Price $85,Up for quad adventure? Riding a Quad bike is an exhilarating experience! This powerful machine will take you to places that other toys can't,49627849083,2022-08-27,https://www.eventbrite.com/e/quad-biking-experience-price-85-tickets-386343151767,false
356725925847,Ghana Tour & Healthcare Adventure,Remarkable 8 days and 7 nights in the golden kingdom of Ghana exploring nature  culture  and modern opportunity in healthcare and beyond.,8075770431,2022-09-03,https://www.eventbrite.com/e/ghana-tour-healthcare-adventure-tickets-356725925847,false
335347291777,Africa CEO's In Transport Logistics & Supply Chain Forum 2022 |Accra| Ghana,Join us this year for the bespoke  thought leadership forum the 4th Africa CEO's in Transport Logistics & Supply Chain  2022 in West Africa,46783738703,2022-09-15,https://www.eventbrite.com/e/africa-ceos-in-transport-logistics-supply-chain-forum-2022-accra-ghana-tickets-335347291777,false
331283256137,The Phoenix Newspaper 10th Anniversary Gala Dinner & Awards + Conference,The Phoenix Newspaper is celebrating its Glittering 10th Anniversary Gala Dinner and Awards Presentation Ceremony  in Accra  Ghana.,14127422526,2022-09-30,https://www.eventbrite.com/e/the-phoenix-newspaper-10th-anniversary-gala-dinner-awards-conference-tickets-331283256137,false
377854542107,DateNight (2 Edition),DateNight will be a night for singles to meet a potential life partner over drinks and great conversation.  This is a speed dating event.,48410768743,2022-08-31,https://www.eventbrite.com/e/datenight-2-edition-tickets-377854542107,false
